0,147099986832.63037,<1.471E+11, -29555070, 0>,0.6565363481640816,3.1371206433954963,<-30280.85, 141.50127, 0>
0.0003141592653589793,147099986951.94406,<1.4709998E+11, 16657756, 0>,0.6415623091161251,3.1371206404143765,<-30280.848, 141.50136, 0>
0.0006283185307179586,147099987309.8851,<1.4709998E+11, 62870576, 0>,0.596640195697546,3.137120631471029,<-30280.848, 141.50163, 0>
0.0009424777960769379,147099987906.45346,<1.4709996E+11, 109083384, 0>,0.5217700563371181,3.137120616565465,<-30280.848, 141.50209, 0>
0.0012566370614359172,147099988741.64914,<1.4709991E+11, 155296200, 0>,0.41695238277316093,3.1371205956977932,<-30280.848, 141.50272, 0>
0.0015707963267948967,147099989815.47195,<1.4709986E+11, 201509000, 0>,0.2821875959634781,3.1371205688681227,<-30280.848, 141.50352, 0>
0.0018849555921538759,147099991127.9219,<1.4709978E+11, 247721780, 0>,0.11747629567980766,3.13712053607651,<-30280.848, 141.50452, 0>
0.0021991148575128553,147099992678.99884,<1.470997E+11, 293934500, 0>,31564347.43902708,3.137120497323113,<-30280.848, 141.50569, 0>
0.0025132741228718345,147099994468.7026,<1.470996E+11, 340147230, 0>,51.70176262035966,3.1371204526080843,<-30280.848, 141.50705, 0>
0.0028274333882308137,147099996497.03308,<1.4709948E+11, 386359900, 0>,51.44721659645438,3.1371204019317283,<-30280.846, 141.50858, 0>
0.0031415926535897933,147099998763.99008,<1.4709935E+11, 432572580, 0>,51.162727665156126,3.1371203452940986,<-30280.846, 141.51028, 0>
0.003455751918948772,147100001269.5734,<1.4709922E+11, 478785180, 0>,102.85198679566383,3.1371202826955953,<-30280.846, 141.51218, 0>
0.0037699111843077517,147100004013.78275,<1.4709907E+11, 524997760, 0>,102.50761590898037,3.137120214136344,<-30280.846, 141.51425, 0>
0.004084070449666731,147100006996.61798,<1.470989E+11, 571210300, 0>,154.1371402144432,3.1371201396168185,<-30280.844, 141.5165, 0>
0.0043982297150257105,147100010218.07877,<1.4709871E+11, 617422700, 0>,153.73289357870817,3.137120059137192,<-30280.844, 141.51894, 0>
0.00471238898038469,147100013678.16486,<1.4709852E+11, 663635140, 0>,153.29871156439185,3.1371199726979597,<-30280.844, 141.52155, 0>
0.005026548245743669,147100017376.87592,<1.470983E+11, 709847550, 0>,204.83857403323054,3.1371198802993683,<-30280.842, 141.52434, 0>
0.005340707511102649,147100021314.21164,<1.4709808E+11, 756059800, 0>,256.3486490957439,3.1371197819418613,<-30280.842, 141.52731, 0>
0.005654866776461627,147100025490.17163,<1.4709783E+11, 802272000, 0>,255.82467303425074,3.1371196776258814,<-30280.84, 141.53047, 0>
0.0059690260418206065,147100029904.7556,<1.4709758E+11, 848484160, 0>,307.27503603324294,3.1371195673518955,<-30280.84, 141.5338, 0>
0.006283185307179587,147100034557.9631,<1.470973E+11, 894696200, 0>,306.69120852276683,3.137119451120369,<-30280.838, 141.53732, 0>
0.006597344572538566,147100039449.7937,<1.4709704E+11, 940908160, 0>,358.08186896145344,3.1371193289317656,<-30280.838, 141.54102, 0>
0.006911503837897544,147100044580.247,<1.4709673E+11, 987120060, 0>,409.4427542872727,3.137119200786723,<-30280.836, 141.54489, 0>
0.007225663103256524,147100049949.32254,<1.4709642E+11, 1.03333184E+09, 0>,460.7738672159612,3.1371190666857283,<-30280.836, 141.54895, 0>
0.007539822368615503,147100055557.01984,<1.470961E+11, 1.0795434E+09, 0>,512.0752107575536,3.137118926629416,<-30280.834, 141.55318, 0>
0.007853981633974483,147100061403.33835,<1.4709575E+11, 1.1257551E+09, 0>,511.3418014831841,3.1371187806183456,<-30280.834, 141.5576, 0>
